title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
"Union Square- Timeshare Condo- 1 BR, 2BA, Sleeps 4",room in boutique hotel,Nob Hill,94123,4 guests - 1 bedroom - 2 beds - 2 baths,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,,0,False,,250.0,0.0,71.0
Nob Hill Studio Condo - Great Location,room in boutique hotel,Chinatown,94123,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.75,5,False,,225.0,0.0,64.0
MESSAGE FOR BEST RATES | Famous Union Square Hotel,room in boutique hotel,Downtown,94123,4 guests - Studio - 2 beds - 1 private bath,Wifi - Self check-in,Dec 3 – 5,,0,False,,321.0,0.0,91.0
Studio at Donatello Hotel near Union Square,hotel room,Downtown,94123,4 guests - Studio - 2 beds - 1 private bath,Wifi - Self check-in,Dec 10 – 12,4.89,149,False,,285.0,0.0,0.0
Stratford Cozy Cool Queen,hotel room,Downtown,94123,2 guests - Studio - 1 bed - 1 private bath,Wifi,Dec 17 – 19,4.35,26,False,,152.0,25.0,46.0
HERBERT Room with Hallway Bath,private room,Downtown,94123,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer,Dec 10 – 12,4.06,33,False,,89.0,25.0,29.0
Union Square - Studio - Convention Convenient,room in boutique hotel,Nob Hill,94123,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,3,False,,235.0,0.0,66.0
Ste 1408-1 Queen Bedrm & Living Rm,room in boutique hotel,Downtown,94123,2 guests - 1 bedroom - 1 bed - 2 baths,Wifi - Self check-in,Dec 31 – Jan 2,4.33,3,False,,225.0,50.0,71.0
Studio at Donatello Hotel near Union Square,hotel room,Downtown,94123,4 guests - Studio - 2 beds - 1 private bath,Wifi - Self check-in,Dec 24 – 26,4.91,45,False,,559.0,0.0,158.0
"SF Union Square, unbeatable location! (2)",entire condominium (condo),Downtown,94123,4 guests - Studio - 2 beds - 1 bath,Wifi - Self check-in,Dec 10 – 12,4.88,17,False,,379.0,69.0,117.0
Stratford Cozy Cool Queen,room in boutique hotel,Downtown,94123,2 guests - Studio - 1 bed - 1 private bath,Wifi,Dec 24 – 26,4.16,19,False,,152.0,25.0,46.0
SF Union Square: 2 studios in upscale Hotel!,entire condominium (condo),Downtown,94123,8 guests - Studio - 4 beds - 2 baths,Self check-in,Dec 17 – 19,5.0,18,False,,899.0,149.0,275.0
"The Marker San Francisco, Signature One Bedroom",room in boutique hotel,Tenderloin,94123,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 24 – 26,,0,False,,415.0,0.0,0.0
Nob Hill Timeshare Studio Condo - Great Location,room in boutique hotel,Chinatown,94123,2 guests - Studio - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,4,False,,225.0,0.0,64.0
studio unit san francisco,entire rental unit,Chinatown,94123,2 guests - Studio - 1 bed - 1 bath,Wifi,Dec 17 – 19,,0,False,,275.0,75.0,88.0
"SALESFORCE / DREAMFORCE - San Francisco, CA",room in boutique hotel,Chinatown,94123,2 guests - Studio - 2 beds - 1 private bath,Wifi - Kitchen - Washer,Dec 24 – 26,4.67,3,False,,405.0,0.0,114.0
King Room - Hotel Spero,hotel room,Tenderloin,94123,4 guests - Studio - 1 bed - 1 bath,,Dec 24 – 26,,0,False,,208.0,0.0,0.0
"Union Square- Timeshare Condo- 1 BR, 2BA, Sleeps 4",room in boutique hotel,Nob Hill,94123,4 guests - 1 bedroom - 2 beds - 2 baths,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,,0,False,,250.0,0.0,71.0
Nob Hill Studio Condo - Great Location,room in boutique hotel,Chinatown,94123,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.75,5,False,,225.0,0.0,64.0
MESSAGE FOR BEST RATES | Famous Union Square Hotel,room in boutique hotel,Downtown,94123,4 guests - Studio - 2 beds - 1 private bath,Wifi - Self check-in,Dec 3 – 5,,0,False,,321.0,0.0,91.0
Hotel Emblem San Francisco,boutique hotel,San Francisco,94123,3 room types,Wifi,,,0,False,,249.0,0.0,0.0
HERBERT Room with Hallway Bath,room in boutique hotel,Downtown,94123,2 guests - 1 bedroom - 1 bed - 0 baths,Wifi - Washer,Dec 24 – 26,,0,False,,89.0,25.0,29.0
Nob Hill Studio Condo - Convenient For Conventions,room in boutique hotel,Chinatown,94123,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.75,5,False,,265.0,0.0,75.0
Cozy Private Guest Suite w/ Full Bath & Deck in SF,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.89,216,False,,90.0,65.0,35.0
"San Francisco, Bayview, Private Room #4",private room,Bayview,94124,2 guests - 1 bedroom - 1 shared bath,Wifi - Washer - Self check-in,Dec 24 – 26,4.17,41,False,,45.0,39.0,18.0
Bright and Spacious Bedroom with ensuite Bath,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 31 – Jan 2,4.9,39,False,,56.0,50.0,23.0
CLOUD 9: Modern-Super Clean -Trendy Mission Area,private room,Mission District,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.98,275,True,114.0,100.0,35.0,33.0
Airy and Comfy Bedroom with ensuite Bath,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 10 – 12,4.8,25,False,,54.0,50.0,22.0
Garden Apt in Bernal,entire rental unit,Bernal Heights,94124,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 10 – 12,4.9,165,False,,150.0,75.0,53.0
Room1,private room,Bayview,94124,2 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Washer - Self check-in,Dec 24 – 26,4.8,139,False,,51.0,25.0,18.0
Comfy and Cozy Bedroom with  ensuite Bath,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 31 – Jan 2,4.9,30,False,,52.0,50.0,22.0
Beautiful New Guest Suite with Private Entrance,entire guest suite,Bayview,94124,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 10 – 12,,0,False,,125.0,125.0,53.0
Cozy Guest Suite 1BA/1BR (B),entire guest suite,Visitacion Valley,94124,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Washer,Dec 24 – 26,4.61,282,False,,88.0,30.0,29.0
SOLO TRAVELER HAVEN - Fiber Wifi - Walk to BART!,private room,Mission District,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.94,290,False,,99.0,40.0,34.0
Charming Garden Suite in Bernal Heights,entire guest suite,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 10 – 12,4.97,106,False,,195.0,75.0,66.0
"King beds, romantic views, modern, quiet suite",entire guest suite,Visitacion Valley,94124,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.95,177,False,,278.0,100.0,93.0
Garden Studio w/Parking &Wa/Dryr! Pet Friendly!,entire residential home,Bernal Heights,94124,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Washer - Self check-in,Dec 24 – 26,4.97,104,True,171.0,154.0,57.0,0.0
"Stylish, private Full 3 room suite",private room,Bayview,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Self check-in,Dec 24 – 26,4.66,89,False,,122.0,85.0,46.0
Mid Century Meets Southern Hospitality in Bayview,entire rental unit,Bayview,94124,6 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 10 – 12,4.85,306,False,,275.0,150.0,99.0
Awesome 1 Bed (Queen) w/ Private Bath & Entrance!,private room,Visitacion Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.85,89,False,,74.0,60.0,29.0
Cozy private studio,entire guest suite,Portola,94124,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Self check-in,Dec 17 – 19,4.94,197,False,,106.0,50.0,37.0
Fabulous Artist Flat in the Heart of Potrero Hill,entire rental unit,Potrero Hill,94124,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.97,369,False,,250.0,100.0,85.0
Garden Hideaway-Trendy Mission Area,private room,Mission District,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 3 – 5,4.93,14,True,105.0,95.0,35.0,32.0
Panoramic View Room in 1890 Noe Valley Victorian,private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,3,False,,75.0,40.0,27.0
"San Francisco Home, Bayview, Private Room #3",private room,Bayview,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Washer - Self check-in,Dec 10 – 12,4.17,48,False,,45.0,39.0,18.0
Silver Terrace Villa,entire guest suite,Bayview,94124,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 10 – 12,4.94,54,False,,198.0,90.0,69.0
Homey Private Room 1BA/1BR (A),private room,Visitacion Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Washer - Self check-in,Dec 3 – 5,4.72,219,False,,59.0,30.0,21.0
Comfy room w/direct entrance and private bathroom,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 10 – 12,4.78,54,False,,70.0,0.0,20.0
"2 Rooms, 5 Beds, Kitchen, Free Parking, Priv. Apt.",entire guest suite,Bayview,94124,10 guests - 2 bedrooms - 3 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 10 – 12,4.71,313,False,,220.0,49.0,69.0
Nice room in a 1890 Noe Valley Victorian,private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.94,204,False,,75.0,40.0,27.0
Cozy 1 Bedroom (Twin) Private Bath and Entrance!,private room,Visitacion Valley,94124,1 guest - 1 bedroom - 1 bed - 1 private bath,Wifi - Washer - Self check-in,Dec 24 – 26,4.97,86,False,,65.0,60.0,27.0
Bingo. Private-Modern-Remodeled SF Guest Suite,entire guest suite,Portola,94124,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 31 – Jan 2,4.97,264,False,,170.0,70.0,58.0
Holladay Home (w/ parking),entire guest suite,Bernal Heights,94124,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 3 – 5,4.65,382,False,,150.0,100.0,56.0
Studio w/ Private Entry + Garden in Bernal Heights,entire guest suite,Bernal Heights,94124,4 guests - Studio - 1 bed - 1 bath,Wifi - Self check-in,Dec 10 – 12,4.92,92,False,,126.0,50.0,43.0
Affordable Room in San Francisco,private room,Bayview,94124,2 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.66,176,False,,45.0,45.0,19.0
Private Bedroom next to John McLaren Park 3,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Self check-in,Dec 24 – 26,4.68,57,False,,50.0,25.0,18.0
Sunny Room w/ Private Bathroom,private room,Potrero Hill,94124,1 guest - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 31 – Jan 2,4.89,187,False,,110.0,60.0,39.0
"Large & Private: Living Room, Bedroom, Bath, Entry",private room,Mission District,94124,2 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Self check-in,Dec 24 – 26,4.93,92,False,,135.0,100.0,52.0
"""The Japan Room""  Mission District House",private room,Mission District,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Self check-in,Dec 24 – 26,4.84,25,False,,79.0,30.0,27.0
Cozy San Francisco house,entire residential home,Visitacion Valley,94124,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.65,20,False,,200.0,110.0,72.0
Entire private guest suite in beautiful Bernal.,entire guest suite,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 31 – Jan 2,4.97,147,False,,289.0,75.0,92.0
Lovely art suite with parking and yard,entire guest suite,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Self check-in,Dec 17 – 19,4.68,395,False,,185.0,80.0,64.0
Mediterranean Oasis In The City (Canto Uccello) w/ Garden View,entire rental unit,Noe Valley,94124,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.96,142,True,298.0,262.0,110.0,90.0
Jasper's Studio,private room,Bernal Heights,94124,2 guests - 1 bedroom - 2 beds - 1 private bath,Wifi,Dec 31 – Jan 2,4.81,280,False,,78.0,0.0,22.0
Cozy Bedroom + Private Bathroom near SFO Airport,private room,Visitacion Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.81,91,False,,58.0,30.0,21.0
Private Bed/Bath next to John Mclaren Park 2,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 24 – 26,4.56,66,False,,60.0,25.0,20.0
Beautiful room in an 1890 Noe Valley Victorian,private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.98,132,False,,75.0,40.0,27.0
"Hill Street Home, Sanctuary in Heart of the City",entire guest suite,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer - Self check-in,Dec 17 – 19,5.0,27,False,,225.0,75.0,74.0
Spacious luxury getaway in the sunniest part of SF,entire guest suite,Potrero Hill,94124,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Washer - Self check-in,Dec 10 – 12,4.89,127,False,,225.0,120.0,80.0
"Peaceful w/Garden (Gas Fire-Pit), Office & Wa/Dryr",entire guest suite,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer - Self check-in,Dec 31 – Jan 2,4.93,219,False,,203.0,100.0,71.0
New Comfy Guest Suite 1BR/1BA (C),entire guest suite,Visitacion Valley,94124,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Washer - Self check-in,Dec 24 – 26,4.61,274,False,,98.0,30.0,32.0
Private studio in the sunny Mission w/Fast Wifi!,entire residential home,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Self check-in,Dec 24 – 26,4.81,266,False,,165.0,90.0,59.0
"Comfortable, Stylish Studio with PARKING! Safe!",entire rental unit,Visitacion Valley,94124,3 guests - Studio - 2 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.73,200,True,138.0,113.0,46.0,0.0
2 Bedrooms 1 Bath (3 QUEENS) Private Entrance !,entire residential home,Visitacion Valley,94124,6 guests - 2 bedrooms - 3 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.83,131,False,,159.0,100.0,59.0
Room w/ Private Bath and Private Separate Entrance,private room,Excelsior,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 10 – 12,4.89,35,False,,69.0,39.0,25.0
Bernal Heights Architect's Retreat,private room,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.92,463,False,,100.0,30.0,32.0
31C- Cozy Room Fits 3 near Glen Park BART,private room,Mission Terrace,94124,2 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Kitchen,Dec 10 – 12,4.35,85,False,,53.0,45.0,21.0
Cozy bedroom in the Mission — 24th Street BART,private room,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 31 – Jan 2,4.8,20,False,,79.0,25.0,26.0
Take it Easy on Potrero Hill,entire guest suite,Potrero Hill,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.84,178,False,,159.0,50.0,52.0
Loaded w Charm + Parking & Yard near Precita Park,entire residential home,Bernal Heights,94124,4 guests - 2 bedrooms - 2 beds - 2 baths,Wifi - Kitchen - Washer,Dec 3 – 5,4.81,62,False,,250.0,120.0,88.0
Potrero Hill Garden Lookout,entire residential home,Potrero Hill,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer - Self check-in,Dec 3 – 5,4.95,639,False,,270.0,150.0,97.0
!P Ground room P w/private bath,private room,Excelsior,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Washer - Self check-in,Dec 17 – 19,4.88,52,True,63.0,54.0,50.0,22.0
2Bed/1Bath SF Home Convenient between SFO+DOWNTOWN,entire residential home,Visitacion Valley,94124,6 guests - 2 bedrooms - 5 beds - 1 bath,Wifi - Kitchen,Dec 3 – 5,4.8,45,False,,193.0,95.0,68.0
Private guest space with full bath and kitchenette,entire guest suite,Bernal Heights,94124,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.92,38,False,,120.0,65.0,43.0
Private Guest Suite with Private Bathroom and Entrance in SF,private room,Portola,94124,3 guests - 1 private bedroom - 3 beds - 1 private bath,Wifi - Self check-in,Dec 17 – 19,4.85,172,False,,129.0,59.0,45.0
Roaring 20s original (1917 Classic SF home),private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 10 – 12,4.86,56,False,,85.0,49.0,31.0
Private Bedroom-Potrero Hill-San Francisco-2guests,private room,Potrero Hill,94124,2 guests - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Kitchen - Washer,Dec 24 – 26,4.96,131,False,,125.0,60.0,44.0
Beautiful & Bright Guest Room!,private room,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.91,46,False,,105.0,50.0,37.0
Private Suite in Sun Drenched Garden.,entire residential home,Potrero Hill,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.92,13,False,,285.0,100.0,95.0
Noe Valley Firehouse Flat,entire guesthouse,Noe Valley,94124,6 guests - 3 bedrooms - 4 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 3 – 5,5.0,21,True,498.0,298.0,160.0,107.0
Elegant Noe Valley/Glen Park private suite,casa particular,Glen Park,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Self check-in,Dec 3 – 5,5.0,11,False,,110.0,125.0,49.0
Private Room close to McLaren Park (C),private room,Excelsior,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Self check-in,Dec 17 – 19,4.82,11,True,59.0,49.0,38.0,19.0
3BED 2BATH 15Mins >DT/FIDI/SFO |10Mins >UCSF MBay,entire residential home,Bayview,94124,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.96,54,False,,339.0,175.0,120.0
The Skyline Suite (w/ Kitchenette),entire guest suite,Potrero Hill,94124,2 guests - Studio - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.72,444,False,,219.0,59.0,70.0
Private Room w/En-Suite Bath in Heart of Mission,private room,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 31 – Jan 2,4.9,143,False,,125.0,60.0,44.0
San Francisco Private Room (B),private room,Excelsior,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Self check-in,Dec 17 – 19,4.5,10,False,,49.0,39.0,19.0
Separate Entrance/Private Bathroom in Noe Valley!,private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Self check-in,Dec 17 – 19,4.97,379,False,,125.0,50.0,42.0
Spacious Private Guest Suite near Glen Park,entire guest suite,Excelsior,94124,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 3 – 5,4.95,20,False,,181.0,60.0,60.0
Cozy private bedroom in Victorian home SoMa,private room,SoMa,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,9,False,,75.0,40.0,27.0
Lux Gem in the heart of the mission district,entire condominium (condo),Mission District,94124,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.85,34,True,359.0,288.0,95.0,0.0
Large Private Room in Modern Mission Apartment,private room,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 31 – Jan 2,4.94,31,False,,129.0,30.0,41.0
"Pet-friendly studio, garden view in Excelsior",entire guest suite,Excelsior,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Self check-in,Dec 10 – 12,4.96,51,False,,97.0,75.0,38.0
Roaring 20s original.  (1917 Classic SF home),private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Self check-in,Dec 17 – 19,4.93,40,False,,84.0,49.0,31.0
"Chic, sun-drenched studio w/views and parking.",entire guest suite,Bayview,94124,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.94,191,False,,225.0,80.0,75.0
Cozy Room in the Garden District with Breakfast,private room,Portola,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 10 – 12,4.88,230,False,,133.0,0.0,38.0
"""THE CAROUSEL ROOM"" in the CASTRO--Convenient!",private room,The Castro,94124,2 guests - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Self check-in,Dec 10 – 12,4.71,256,False,,60.0,30.0,21.0
Modern  One Bedroom in Bernal Heights,entire rental unit,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1.5 baths,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,16,False,,250.0,100.0,85.0
Bright private bedroom in Victorian home,private room,SoMa,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,5.0,10,False,,79.0,40.0,28.0
Excelsior Flat,entire residential home,Excelsior,94124,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.95,132,False,,200.0,0.0,56.0
Jersey Street Gem,private room,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Washer,Dec 31 – Jan 2,4.79,78,False,,112.0,10.0,33.0
"Suite C - Cyan, Cerulean, or Mint?",private room,Portola,94124,4 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.87,95,False,,75.0,50.0,28.0
"Relaxing Victorian room in SoMa, next to BART!",private room,SoMa,94124,2 guests - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.88,260,False,,80.0,50.0,30.0
Room w/ a View in the Castro!,private room,The Castro,94124,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 17 – 19,4.87,618,False,,115.0,0.0,32.0
"Quiet, private top flr w/hot tub, views, king beds",entire rental unit,Visitacion Valley,94124,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.93,76,False,,428.0,195.0,148.0
Walk + Bike + Transit Score 97!,private room,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 24 – 26,4.87,325,False,,120.0,30.0,38.0
Vibrant Mission 2BR | PELOTON + FIBER WIFI,entire rental unit,Mission District,94124,4 guests - 2 bedrooms - 2 beds - 1.5 baths,Wifi - Kitchen - Washer - Self check-in,Dec 17 – 19,4.95,40,False,,289.0,120.0,99.0
Sunny Corner Room in Unique Industrial Residence,private room,Mission District,94124,2 guests - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Kitchen - Washer - Self check-in,Dec 24 – 26,4.83,80,False,,145.0,60.0,49.0
"Private, modernized 1 bedroom suite in Noe Valley",entire guest suite,Noe Valley,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Self check-in,Dec 17 – 19,4.81,78,False,,227.0,125.0,82.0
!G Ground 2 twin beds share bath,private room,Excelsior,94124,2 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Washer - Self check-in,Dec 31 – Jan 2,4.91,69,True,85.0,58.0,50.0,23.0
Peaceful Noe Valley private space near everything,entire guest suite,Noe Valley,94124,2 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Self check-in,Dec 31 – Jan 2,4.79,401,False,,217.0,45.0,68.0
2BR/1BA Modern w $30/day parking option cars <16ft,entire rental unit,Portola,94124,6 guests - 2 bedrooms - 4 beds - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.9,423,False,,142.0,80.0,51.0
Private Studio with Outdoor Deck,private room,Bernal Heights,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 17 – 19,4.92,144,False,,104.0,75.0,40.0
SF Hill Home w/Pkng & Yard - NOW EXTRA SANITIZED,entire residential home,Daly City,94124,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer - Self check-in,Dec 10 – 12,4.53,95,False,,123.0,40.0,40.0
The Retreat - marijuana FREE space,entire rental unit,Excelsior,94124,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 31 – Jan 2,4.82,113,False,,121.0,60.0,43.0
Artfully Remodeled House 3bd/2ba,entire residential home,Bernal Heights,94124,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Kitchen - Washer,Dec 3 – 5,5.0,3,False,,425.0,225.0,152.0
31B- Cozy Room w/ Private Bath near Glen Park BART,private room,Mission Terrace,94124,3 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Kitchen - Self check-in,Dec 24 – 26,4.51,89,True,97.0,72.0,50.0,27.0
Beautiful Bernal Heights Apartment,entire rental unit,Excelsior,94124,6 guests - 1 bedroom - 4 beds - 1 bath,Wifi - Kitchen - Self check-in,Dec 3 – 5,4.61,285,True,160.0,120.0,250.0,69.0
Standard Queen Room,room in boutique hotel,Hayes Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 17 – 19,4.31,71,False,,122.0,0.0,0.0
"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",private room,Potrero Hill,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer - Self check-in,Dec 31 – Jan 2,4.89,314,False,,162.0,90.0,58.0
Deluxe Queen Room w/Street View,room in boutique hotel,Hayes Valley,94124,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 17 – 19,4.5,46,False,,133.0,0.0,0.0
