title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
"Comfort Budget ""F"" Lake Area 1-28 Nights Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.64,47,False,,35.0,25.0,13.0
Sleepy Sailboat,boat,Alameda,94660,2 guests - Studio - 2 beds - Half-bath,,Dec 3 – 5,,0,False,,100.0,20.0,31.0
Hummingbird Cove at the Purple Lady,private room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 private bath,Wifi - Washer,Dec 10 – 12,4.8,10,False,,185.0,10.0,54.0
Room 3 Bed 3 at FacesOasis,shared room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen - Washer,Dec 17 – 19,4.2,10,False,,23.0,30.0,11.0
Cottage bed 4 at FacesOasis,shared room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,,0,False,,29.0,35.0,13.0
Modern Clean Private bedroom w/bath in home,private room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 24 – 26,5.0,3,False,,120.0,50.0,41.0
Room on navel base,private room,Alameda,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Free parking,Dec 3 – 5,,0,False,,50.0,25.0,18.0
"Comfort Budget ""B"" Great Area 1-7 Nights Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.6,81,False,,35.0,35.0,15.0
Private Room In Nice One Bdrm Apt.,private room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 10 – 12,,0,False,,89.0,50.0,32.0
Lake Merritt Charmer,private room,Oakland,94660,4 guests - 2 bedrooms - 2 beds - 1 private bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.73,22,False,,237.0,39.0,72.0
"Comfort Budget ""G"" Lake Area 1 Night Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.31,36,False,,20.0,35.0,11.0
Cottage bed 2 at FacesOasis,shared room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 3 – 5,,0,False,,28.0,35.0,13.0
"Comfort Budget ""E"" Great Area1-2 Nights Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 8 beds - 1 shared bath,Wifi,Dec 17 – 19,4.43,40,False,,29.0,50.0,15.0
Cottage Bed 3 at FacesOasis,shared room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,,0,False,,23.0,35.0,11.0
"Beautiful Offsite Office, Meeting and Production",entire loft,Produce and Waterfront,94660,16 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 24 – 26,4.93,17,False,,930.0,150.0,284.0
P2 Room 1 Private,private room,Prescott,94660,2 guests - 1 bedroom - 2 baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,58.0,45.0,23.0
Modern Penthouse in New Downtown Moxy Hotel,room in boutique hotel,San Pablo Gateway,94660,2 guests - 1 bedroom - 1 private bath,Wifi,Dec 17 – 19,,0,False,,800.0,0.0,226.0
Private Room and Bath in Oakland!,private room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen,Dec 31 – Jan 2,4.0,5,False,,39.0,0.0,11.0
"Adorable 1 bedroom apartment, close to Lake Merrit",entire rental unit,Ivy Hill,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Free parking,Dec 24 – 26,4.0,4,False,,84.0,0.0,24.0
Walk to Lake Merritt Shops Good Eats Quiet Area,shared room,Oakland,94660,4 guests - 1 bedroom - 8 beds - 1 shared bath,Wifi,Dec 3 – 5,4.08,12,False,,39.0,45.0,17.0
"Comfort Budget ""C"" Great Area 1-7 nights Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 8 beds - 1 shared bath,Wifi,Dec 17 – 19,4.41,78,False,,35.0,35.0,15.0
P2 Room 2 Private,private room,Prescott,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 24 – 26,,0,False,,55.0,45.0,22.0
P2 Room 1 Bed 1,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 24 – 26,,0,False,,22.0,30.0,10.0
Charming Studio on Lake Merritt,entire rental unit,Oakland,94660,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.74,23,False,,149.0,40.0,48.0
P2 Room 3 Private,private room,Prescott,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,59.0,45.0,23.0
Cozy 1 bdrm apartment all to yourself,private room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Free parking,Dec 31 – Jan 2,5.0,3,False,,150.0,10.0,44.0
P2 Room 1 Bed 4,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,24.0,30.0,11.0
"Comfort ""H"" Great Area 1-28 Nights Quiet",shared room,Oakland,94660,1 guest - 1 bedroom - 8 beds - 1 shared bath,Wifi - Kitchen,Dec 31 – Jan 2,4.81,42,False,,35.0,75.0,20.0
Room in a with own bathroom,private room,Ivy Hill,94660,3 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Washer,Dec 3 – 5,,0,False,,70.0,15.0,22.0
P2 Room 1 Bed 2,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 17 – 19,,0,False,,22.0,30.0,10.0
"Top Floor, Corner Unit in High-Rise",entire rental unit,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Free parking,Dec 24 – 26,,0,False,,200.0,99.0,70.0
Cute apartment with a great view,private room,Oakland,94660,1 guest - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 17 – 19,5.0,6,False,,100.0,0.0,28.0
P2 Room 3 Bed 1,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,24.0,30.0,11.0
P2 Room 3 Bed 4,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 17 – 19,,0,False,,24.0,30.0,11.0
Meridian 341 Yacht,boat,Downtown Oakland,94660,12 guests - 3 bedrooms - 5 beds - 1 bath,Wifi - Kitchen - Washer,Dec 24 – 26,4.44,20,False,,385.0,180.0,134.0
Kind Unique Place Center Located,private room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Kitchen - Washer,Dec 17 – 19,,0,False,,65.0,0.0,18.0
5 to 10 in your Group Small Budget  Stay by Lake,shared room,Oakland,94660,10 guests - 1 bedroom - 11 beds - 1 shared bath,Wifi,Dec 31 – Jan 2,,0,False,,150.0,50.0,49.0
Studio Space Near Downtown/CapHill/SouthLa,private room,San Pablo Gateway,94660,3 guests - Studio - 3 beds - 1 shared bath,Wifi - Kitchen - Washer,Dec 24 – 26,,0,False,,52.0,0.0,15.0
Bay Area,entire rental unit,Merritt,94660,4 guests - 2 bedrooms - 2.5 baths,Wifi - Kitchen - Washer,Dec 24 – 26,,0,False,,300.0,75.0,95.0
Nice and Beautiful place near Lake Merritt,shared room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,,0,False,,125.0,50.0,42.0
EPIC SuperBowl Exclusive Island Apt,entire rental unit,Alameda,94660,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Free parking - Washer,Dec 10 – 12,,0,False,,315.0,20.0,92.0
P2 Room 3 Bed 2,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 17 – 19,,0,False,,24.0,30.0,11.0
Bedroom in the Heart of Oakland,private room,Dogtown,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 3 – 5,,0,False,,100.0,100.0,42.0
P2 Room 3 Bed 3,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 3 – 5,,0,False,,24.0,90.0,20.0
"Private Bedroom, perfect location!",private room,Alameda,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 3 – 5,,0,False,,100.0,25.0,32.0
Cozy & Convenient 1br Condo in Piedmont,entire rental unit,Oakland,94660,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Washer,Dec 10 – 12,,0,False,,145.0,100.0,55.0
P2 Private house,entire rental unit,Prescott,94660,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Kitchen,Dec 17 – 19,,0,False,,263.0,95.0,88.0
Alameda Purple Room,private room,Alameda,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 3 – 5,,0,False,,199.0,0.0,56.0
Beautiful Space just minutes from the Lake Merritt,shared room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 10 – 12,,0,False,,98.0,0.0,28.0
My apartment Is Clean and Charming.,private room,Oakland,94660,2 guests - 1 bedroom - 1 bed - 1 bath,Kitchen,Dec 3 – 5,,0,False,,150.0,0.0,42.0
P2 Room 1 Bed 3,shared room,Prescott,94660,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,24.0,30.0,11.0
Wonderful Bdrm in a 2 bdrm Home,private room,Clawson,94660,2 guests - 1 bedroom - 2 beds - 1 bath,,Dec 17 – 19,,0,False,,80.0,0.0,23.0
Prime spot - travel around the bay!,private room,Ralph Bunche/McClymonds,94660,2 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Free parking,Dec 24 – 26,,0,False,,250.0,0.0,71.0
Montclair Private Garden Studio,entire residential home,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 31 – Jan 2,4.85,266,False,,89.0,45.0,31.0
Tiny Tree House,entire guest suite,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 10 – 12,4.66,116,False,,90.0,0.0,25.0
"Private Studio & Office-Bay Views, Oakland Hills",entire guesthouse,Piedmont Pines,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.99,187,False,,119.0,75.0,44.0
New construction - gorgeous inside & out!!!!,entire guest suite,Oakland Hills,94661,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Free parking - Washer,Dec 10 – 12,4.95,97,False,,150.0,95.0,56.0
Poolside Cabana Lined in Fragrant Rosewood,entire guesthouse,Oakland Hills,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Free parking - Washer,Dec 10 – 12,5.0,13,False,,162.0,40.0,51.0
"A Merriewood Retreat:   A Gentle, Tranquil Getaway",private room,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 31 – Jan 2,4.93,260,False,,125.0,0.0,35.0
In-Law Studio w/ Private Entrance (Pet Friendly),entire guest suite,Upper Dimond,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Free parking - Washer,Dec 3 – 5,4.79,181,False,,99.0,65.0,37.0
Sun-drenched art-filled garden cottage in Dimond,entire guesthouse,Upper Dimond,94661,3 guests - Studio - 2 beds - 1 bath,Wifi,Dec 3 – 5,4.96,196,False,,110.0,50.0,38.0
Charming Studio In-Law with Kitchenette and Deck,entire guest suite,Oakland,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.9,413,False,,89.0,50.0,32.0
Bright Modern Secluded Oakland Hills Retreat,entire guesthouse,Piedmont Pines,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Free parking,Dec 10 – 12,4.97,208,False,,175.0,75.0,60.0
"Rustic Retreat near town. Trees, light, quiet.",private room,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1.5 baths,Wifi - Free parking,Dec 17 – 19,4.91,46,False,,54.0,55.0,23.0
The Noyo Nest - MCM Retreat with stunning views,entire guest suite,Southeast Oakland Hills,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 17 – 19,4.91,47,False,,120.0,65.0,43.0
In-Law Apt in the Oakland Hills,entire residential home,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 24 – 26,4.64,106,False,,120.0,40.0,40.0
